FI,Session,Group,Sujeto,Breakpoint,NT_bp,PRP,FI_letra,Sujeto_total,FI_Letra
15,2,C,12,10.07499993,16,12.1065574,A,3012,A
15,2,C,14,9.162500036,40,6.493442616,A,3014,A
15,2,C,16,11.51428573,56,8.986885282,A,3016,A
15,3,C,2,10.375,8,12.7081967,A,302,A
15,3,C,4,9.409090909,22,13.19016392,A,304,A
15,3,C,6,10.54146343,41,9.070491814,A,306,A
15,3,C,8,9.442857061,7,15.18196717,A,308,A
15,3,C,10,10.58857152,35,9.670491844,A,3010,A
15,3,C,12,11.86250001,16,12.7245902,A,3012,A
15,3,C,14,10.34375006,48,7.752458982,A,3014,A
15,3,C,16,11.17142858,56,8.96065576,A,3016,A
15,4,C,2,10.99411757,17,12.19672134,A,302,A
15,4,C,4,9.157894787,19,12.18360663,A,304,A
15,4,C,6,11.22040813,49,8.604918023,A,306,A
15,4,C,8,11.5999999,4,15.40819676,A,308,A
15,4,C,10,11.17857138,42,10.26557382,A,3010,A
15,4,C,12,10.97142856,14,12.82950826,A,3012,A
15,4,C,14,10.31777779,45,7.145901637,A,3014,A
15,4,C,16,11.36274508,51,9.529508223,A,3016,A
15,5,C,2,10.68333337,48,9.177049127,A,302,A
15,5,C,4,9.500000191,5,15.68688525,A,304,A
15,5,C,6,10.11481479,27,7.922950823,A,306,A
15,5,C,8,11.81666676,12,14.11639341,A,308,A
15,5,C,10,10.80999994,10,10.93114755,A,3010,A
15,5,C,12,13.55000019,4,12.32950824,A,3012,A
15,5,C,14,10.28571431,42,9.463934437,A,3014,A
15,5,C,16,10.57272734,55,8.436065604,A,3016,A
